d w z q
0 1256 0 0
0 1961 0 0
0 3503 0 0
0 3092 0 0
0 794 0 0
0 2116 0 0
0 449 0 0
0 2092 0 0
0 2453 0 0
0 888 0 0
1 168 1 1
1 723 1 1
1 170 1 1
1 190 1 1
1 721 1 1
1 2522 1 1
1 584 1 1
1 2575 1 1
1 1528 1 1
1 3675 1 1
1 2181 1 1
2 1862 2 2
2 3743 2 2
2 583 2 2
2 3508 2 2
2 220 2 2
2 224 2 2
2 848 2 2
2 131 2 2
2 213 2 2
2 141 2 2
2 1168 2 2
3 2606 3 3
3 652 3 3
3 3578 3 3
3 1107 3 3
3 3036 3 3
3 363 3 3
3 0 3 3
3 1891 3 3
3 3215 3 3
3 3040 3 3
3 1315 3 3
4 276 4 4
4 3748 4 4
4 2957 4 4
4 2254 4 4
4 590 4 4
4 494 4 4
4 271 4 4
4 3472 4 4
4 1158 4 4
4 855 4 4
4 3540 4 4
5 3684 5 5
5 1002 5 5
5 1586 5 5
5 2782 5 5
5 2410 5 5
5 1351 5 5
5 483 5 5
5 585 5 5
5 728 5 5
5 498 5 5
6 3520 6 6
6 3612 6 6
6 267 6 6
6 2874 6 6
6 2218 6 6
6 3186 6 6
6 415 6 6
6 2659 6 6
6 734 6 6
6 843 6 6
6 3088 6 6
7 3424 7 7
7 2341 7 7
7 3405 7 7
7 3248 7 7
7 1375 7 7
7 1194 7 7
7 3043 7 7
7 3179 7 7
7 1641 7 7
7 1625 7 7
8 449 0 0
8 3190 1 1
8 3190 1 1
8 2869 0 0
8 305 0 0
8 3514 0 0
8 22 0 0
9 3092 0 0
9 3092 0 0
9 305 0 0
9 305 0 0
9 305 0 0
9 3514 0 0
9 3514 0 0
9 266 8 8
9 3513 8 8
9 269 0 0
9 269 0 0
9 3069 0 0
9 3069 8 8
9 3734 7 7
9 3734 7 7
9 1075 0 0
9 976 8 8
9 60 0 0
9 2590 0 0
9 2563 8 8
9 1871 0 0
9 904 7 7
10 305 0 0
10 305 0 0
10 305 0 0
10 3514 0 0
10 3514 0 0
10 3514 0 0
10 217 10 8
10 218 0 0
10 2737 1 1
10 2737 1 1
10 2737 1 1
10 2750 1 1
10 2750 1 1
10 3619 1 1
10 1796 1 1
10 3682 1 1
10 1756 10 8
10 1047 1 1
10 648 1 1
11 2453 0 0
11 305 0 0
11 305 0 0
11 3514 0 0
11 3514 0 0
11 3267 0 0
11 3267 0 0
11 306 0 0
11 1861 6 6
11 1798 0 0
11 223 6 6
11 77 6 6
11 1081 6 6
11 1958 6 6
11 130 6 6
12 305 0 0
12 305 0 0
12 3514 0 0
12 3514 0 0
12 3267 0 0
12 1493 0 0
12 2361 0 0
12 2711 0 0
12 856 0 0
12 3356 0 0
13 3092 0 0
13 2575 1 1
13 2575 1 1
13 2575 1 1
13 305 0 0
13 305 0 0
13 3514 0 0
13 3514 0 0
13 3514 0 0
13 306 0 0
