d w z q
0 1256 16 0
0 1961 16 0
0 3503 16 0
0 3092 16 0
0 794 16 0
0 2116 16 0
0 449 16 0
0 2092 16 0
0 2453 16 0
0 888 16 0
1 168 25 1
1 723 9 1
1 170 9 1
1 190 9 1
1 721 9 1
1 2522 9 1
1 584 9 1
1 2575 9 1
1 1528 9 1
1 3675 9 1
1 2181 9 1
2 1862 10 2
2 3743 10 2
2 583 10 2
2 3508 10 2
2 220 26 2
2 224 10 2
2 848 10 2
2 131 10 2
2 213 10 2
2 141 10 2
2 1168 26 2
3 2606 11 3
3 652 11 3
3 3578 31 3
3 1107 11 3
3 3036 11 3
3 363 49 3
3 0 49 3
3 1891 49 3
3 3215 11 3
3 3040 11 3
3 1315 11 3
4 276 12 4
4 3748 12 4
4 2957 12 4
4 2254 12 4
4 590 12 4
4 494 12 4
4 271 12 4
4 3472 12 4
4 1158 24 4
4 855 12 4
4 3540 12 4
5 3684 29 5
5 1002 29 5
5 1586 13 5
5 2782 13 5
5 2410 13 5
5 1351 23 5
5 483 23 5
5 585 13 5
5 728 13 5
5 498 13 5
6 3520 46 6
6 3612 46 6
6 267 46 6
6 2874 46 6
6 2218 46 6
6 3186 46 6
6 415 46 6
6 2659 46 6
6 734 46 6
6 843 46 6
6 3088 46 6
7 3424 44 7
7 2341 47 7
7 3405 44 7
7 3248 15 7
7 1375 44 7
7 1194 15 7
7 3043 15 7
7 3179 44 7
7 1641 15 7
7 1625 47 7
8 449 16 0
8 3190 17 1
8 3190 17 1
8 2869 51 0
8 305 51 0
8 3514 51 0
8 22 16 0
9 3092 16 0
9 3092 16 0
9 305 51 0
9 305 51 0
9 305 51 0
9 3514 51 0
9 3514 51 0
9 266 0 8
9 3513 0 8
9 269 51 0
9 269 51 0
9 3069 51 0
9 3069 0 8
9 3734 30 7
9 3734 44 7
9 1075 16 0
9 976 0 8
9 60 16 0
9 2590 51 0
9 2563 0 8
9 1871 51 0
9 904 44 7
10 305 51 0
10 305 51 0
10 305 51 0
10 3514 51 0
10 3514 51 0
10 3514 51 0
10 217 2 8
10 218 16 0
10 2737 9 1
10 2737 9 1
10 2737 9 1
10 2750 9 1
10 2750 9 1
10 3619 57 1
10 1796 17 1
10 3682 17 1
10 1756 2 8
10 1047 17 1
10 648 17 1
11 2453 16 0
11 305 51 0
11 305 51 0
11 3514 51 0
11 3514 51 0
11 3267 16 0
11 3267 16 0
11 306 51 0
11 1861 22 6
11 1798 51 0
11 223 22 6
11 77 45 6
11 1081 22 6
11 1958 22 6
11 130 45 6
12 305 51 0
12 305 51 0
12 3514 51 0
12 3514 51 0
12 3267 16 0
12 1493 16 0
12 2361 51 0
12 2711 51 0
12 856 51 0
12 3356 16 0
13 3092 51 0
13 2575 9 1
13 2575 9 1
13 2575 9 1
13 305 51 0
13 305 51 0
13 3514 51 0
13 3514 51 0
13 3514 51 0
13 306 51 0
13 306 51 0
13 20 51 0
13 20 51 0
13 20 51 0
13 20 51 0
13 2506 51 0
13 2506 51 0
13 758 51 0
13 2007 51 0
14 2453 16 0
14 2254 12 4
14 2254 12 4
14 2254 12 4
14 1158 24 4
14 3190 17 1
14 305 51 0
14 305 24 4
14 305 51 0
14 3514 51 0
14 3514 51 0
14 3514 51 0
14 3404 17 1
14 937 24 4
14 937 20 1
14 937 24 4
14 1793 24 4
14 1793 24 4
14 1793 24 4
14 1793 17 1
14 3516 20 1
14 3516 20 1
14 960 20 1
14 960 24 4
14 936 12 4
15 3405 44 7
15 305 51 0
15 305 51 0
15 3514 51 0
15 3514 51 0
15 3069 51 0
15 2361 44 7
15 2361 51 0
15 2335 2 8
15 2335 2 8
15 1424 2 8
15 2265 51 0
15 1568 2 8
15 1917 51 0
15 2814 2 8
15 2609 44 7
15 3594 44 7
15 3662 54 3
15 174 2 8
16 2092 51 0
16 305 51 0
16 305 51 0
16 3514 51 0
16 3514 51 0
16 1047 17 1
16 1047 17 1
16 2211 17 1
16 1333 51 0
16 1113 32 0
16 1141 16 0
16 3303 17 1
16 176 17 1
16 2095 16 0
17 305 51 0
17 305 51 0
17 3514 51 0
17 3514 51 0
17 936 25 1
17 15 56 1
17 2738 25 1
17 2738 25 1
17 1881 16 0
17 1394 51 0
17 699 16 0
17 1763 16 0
18 305 51 0
18 305 51 0
18 305 51 0
18 3514 51 0
18 856 17 1
18 856 51 0
18 1978 51 0
18 377 51 0
18 191 46 6
18 2268 51 0
18 2729 51 0
18 2729 14 6
18 1208 45 6
19 3092 51 0
19 3190 17 1
19 305 51 0
19 305 51 0
19 305 51 0
19 305 51 0
19 305 51 0
19 3514 51 0
19 3514 51 0
19 3514 51 0
19 3514 51 0
19 648 17 1
19 648 17 1
19 648 17 1
19 648 17 1
19 1919 51 0
19 2915 51 0
19 1167 16 0
19 3198 16 0
20 1961 16 0
20 305 51 0
20 305 51 0
20 305 51 0
20 3514 51 0
20 3514 51 0
20 2361 51 0
20 856 51 0
20 856 51 0
20 2268 51 0
20 2268 51 0
20 2729 33 0
20 2729 33 0
20 1208 33 0
21 305 51 0
21 305 51 0
21 305 51 0
21 3514 51 0
21 3514 51 0
21 3514 51 0
21 217 2 8
21 2737 11 3
21 2737 39 0
21 2737 39 0
21 377 51 0
21 2923 11 3
21 3749 46 6
21 2520 2 8
21 3319 2 8
21 3407 11 3
21 2677 39 0
22 305 51 0
22 305 51 0
22 305 51 0
22 3514 51 0
22 3514 51 0
22 1075 20 1
22 3516 20 1
22 2211 57 1
22 2211 57 1
22 1971 20 1
22 3367 48 6
22 2300 57 1
22 512 51 0
23 305 51 0
23 305 51 0
23 305 51 0
23 305 51 0
23 3514 51 0
23 3514 51 0
23 3514 51 0
23 3514 51 0
23 20 51 0
23 20 51 0
23 815 51 0
23 815 51 0
23 1332 51 0
23 1332 51 0
23 1332 51 0
23 1332 51 0
23 1989 51 0
23 3057 16 0
23 2471 16 0
23 2420 18 0
24 305 51 0
24 305 51 0
24 3514 51 0
24 3514 51 0
24 1333 51 0
24 2742 24 4
24 1774 51 0
24 1049 51 0
24 274 51 0
24 875 24 4
24 1388 9 1
25 2092 16 0
25 2092 16 0
25 1891 49 3
25 2869 51 0
25 305 51 0
25 305 51 0
25 3514 51 0
25 3514 51 0
25 217 16 0
25 217 23 5
25 1336 28 5
25 3059 51 0
25 3059 11 3
25 2855 51 0
25 2855 51 0
25 1751 13 5
25 1751 51 0
25 2040 16 0
26 449 51 0
26 305 51 0
26 305 51 0
26 305 51 0
26 3514 51 0
26 3514 51 0
26 3514 51 0
26 1167 51 0
26 875 51 0
26 915 18 0
26 915 18 0
26 3070 51 0
26 3810 18 0
26 2683 51 0
27 305 51 0
27 305 51 0
27 3514 51 0
27 3514 51 0
27 20 51 0
27 20 51 0
27 20 51 0
27 20 51 0
27 20 51 0
27 2198 2 8
27 2198 2 8
27 2009 51 0
27 2009 2 8
27 1814 38 4
28 3520 46 6
28 305 51 0
28 305 51 0
28 3514 51 0
28 3514 51 0
28 3267 16 0
28 1333 51 0
28 1767 51 0
28 3676 51 0
28 1820 51 0
28 1968 51 0
28 2452 51 0
29 305 51 0
29 3514 51 0
29 3275 18 0
29 3433 18 0
29 684 51 0
29 1781 51 0
29 497 51 0
29 1306 51 0
29 2038 51 0
30 305 51 0
30 305 51 0
30 305 51 0
30 3514 51 0
30 3514 51 0
30 130 51 0
30 377 51 0
30 191 51 0
30 3070 51 0
31 305 51 0
31 305 51 0
31 3514 51 0
31 3514 51 0
31 3514 51 0
31 3514 51 0
31 378 1 8
31 2356 1 8
31 2356 1 8
31 2356 1 8
31 797 51 0
31 797 51 0
